#K-Path          Energy     s    py    pz    px    dxy    dyz    dz2    dxz    dx2-y2    tot
# NKPTS & NBANDS: 180  60
# Band-Index:    1
   2.38226    -55.034971  0.991  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.991
   2.40286    -55.035667  0.991  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.991
   2.42347    -55.036356  0.991  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.991
   2.44408    -55.037035  0.991  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.991
   2.46469    -55.037699  0.991  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.991
   2.48530    -55.038349  0.991  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.991
   2.50591    -55.038981  0.991  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.991
   2.52652    -55.039594  0.991  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.991
   2.54712    -55.040184  0.991  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.991
   2.56773    -55.040752  0.990  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.990
   2.58834    -55.041292  0.990  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.990
   2.60895    -55.041805  0.990  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.990
   2.62956    -55.042287  0.990  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.990
   2.65017    -55.042739  0.991  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.991
   2.67077    -55.043157  0.991  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.991
   2.69138    -55.043539  0.991  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.991
   2.71199    -55.043886  0.990  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.990
   2.73260    -55.044195  0.990  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.990
   2.75321    -55.044465  0.990  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.990
   2.77382    -55.044694  0.991  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.991
   2.79443    -55.044884  0.991  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.991
   2.81503    -55.045032  0.991  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.991
   2.83564    -55.045138  0.991  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.991
   2.85625    -55.045202  0.990  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.990
   2.87686    -55.045223  0.990  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.990
 
# Band-Index:    2
   2.87686    -55.045205  0.990  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.990
   2.85625    -55.045183  0.991  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.991
   2.83564    -55.045119  0.991  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.991
   2.81503    -55.045013  0.991  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.991
